Title (French),Title (English),French Line,English Translation
Histoire 27,Story 27,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 28,Story 28,Personnage 27 fait une activité intéressante.,Character 27 is doing an interesting activity.
Histoire 28,Story 28,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 28,Story 28,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 28,Story 28,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 28,Story 28,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 28,Story 28,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 29,Story 29,Personnage 28 fait une activité intéressante.,Character 28 is doing an interesting activity.
Histoire 29,Story 29,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 29,Story 29,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 29,Story 29,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 29,Story 29,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 29,Story 29,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 30,Story 30,Personnage 29 fait une activité intéressante.,Character 29 is doing an interesting activity.
Histoire 30,Story 30,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 30,Story 30,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 30,Story 30,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 30,Story 30,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 30,Story 30,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 31,Story 31,Personnage 30 fait une activité intéressante.,Character 30 is doing an interesting activity.
Histoire 31,Story 31,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 31,Story 31,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 31,Story 31,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 31,Story 31,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 31,Story 31,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 32,Story 32,Personnage 31 fait une activité intéressante.,Character 31 is doing an interesting activity.
Histoire 32,Story 32,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 32,Story 32,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 32,Story 32,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 32,Story 32,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 32,Story 32,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 33,Story 33,Personnage 32 fait une activité intéressante.,Character 32 is doing an interesting activity.
Histoire 33,Story 33,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 33,Story 33,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 33,Story 33,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 33,Story 33,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 33,Story 33,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 34,Story 34,Personnage 33 fait une activité intéressante.,Character 33 is doing an interesting activity.
Histoire 34,Story 34,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 34,Story 34,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 34,Story 34,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 34,Story 34,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 34,Story 34,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 35,Story 35,Personnage 34 fait une activité intéressante.,Character 34 is doing an interesting activity.
Histoire 35,Story 35,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 35,Story 35,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 35,Story 35,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 35,Story 35,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 35,Story 35,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 36,Story 36,Personnage 35 fait une activité intéressante.,Character 35 is doing an interesting activity.
Histoire 36,Story 36,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 36,Story 36,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 36,Story 36,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 36,Story 36,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 36,Story 36,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 37,Story 37,Personnage 36 fait une activité intéressante.,Character 36 is doing an interesting activity.
Histoire 37,Story 37,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 37,Story 37,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 37,Story 37,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 37,Story 37,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 37,Story 37,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 38,Story 38,Personnage 37 fait une activité intéressante.,Character 37 is doing an interesting activity.
Histoire 38,Story 38,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 38,Story 38,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 38,Story 38,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 38,Story 38,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 38,Story 38,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 39,Story 39,Personnage 38 fait une activité intéressante.,Character 38 is doing an interesting activity.
Histoire 39,Story 39,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 39,Story 39,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 39,Story 39,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 39,Story 39,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 39,Story 39,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 40,Story 40,Personnage 39 fait une activité intéressante.,Character 39 is doing an interesting activity.
Histoire 40,Story 40,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 40,Story 40,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 40,Story 40,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 40,Story 40,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 40,Story 40,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 41,Story 41,Personnage 40 fait une activité intéressante.,Character 40 is doing an interesting activity.
Histoire 41,Story 41,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 41,Story 41,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 41,Story 41,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 41,Story 41,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 41,Story 41,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 42,Story 42,Personnage 41 fait une activité intéressante.,Character 41 is doing an interesting activity.
Histoire 42,Story 42,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 42,Story 42,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 42,Story 42,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 42,Story 42,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 42,Story 42,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 43,Story 43,Personnage 42 fait une activité intéressante.,Character 42 is doing an interesting activity.
Histoire 43,Story 43,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 43,Story 43,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 43,Story 43,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 43,Story 43,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 43,Story 43,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 44,Story 44,Personnage 43 fait une activité intéressante.,Character 43 is doing an interesting activity.
Histoire 44,Story 44,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 44,Story 44,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 44,Story 44,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 44,Story 44,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 44,Story 44,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 45,Story 45,Personnage 44 fait une activité intéressante.,Character 44 is doing an interesting activity.
Histoire 45,Story 45,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 45,Story 45,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 45,Story 45,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 45,Story 45,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 45,Story 45,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 46,Story 46,Personnage 45 fait une activité intéressante.,Character 45 is doing an interesting activity.
Histoire 46,Story 46,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 46,Story 46,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 46,Story 46,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 46,Story 46,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 46,Story 46,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 47,Story 47,Personnage 46 fait une activité intéressante.,Character 46 is doing an interesting activity.
Histoire 47,Story 47,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 47,Story 47,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 47,Story 47,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 47,Story 47,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 47,Story 47,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 48,Story 48,Personnage 47 fait une activité intéressante.,Character 47 is doing an interesting activity.
Histoire 48,Story 48,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 48,Story 48,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 48,Story 48,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 48,Story 48,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 48,Story 48,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 49,Story 49,Personnage 48 fait une activité intéressante.,Character 48 is doing an interesting activity.
Histoire 49,Story 49,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 49,Story 49,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 49,Story 49,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 49,Story 49,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
